idx,id,id_spatial,id_region_type,id_region,year,internal_id,value
0,11291367,35,3,276,2008,[3],916666.666666667
1,11291358,35,3,276,2008,[2],44166666.6666667
2,11291347,35,3,276,2008,[1],216138888.888889
3,11291394,35,3,276,2009,[3],722222.222222222
4,11291386,35,3,276,2009,[2],47333333.3333333
5,11291378,35,3,276,2009,[1],209805555.555556
6,11291420,35,3,276,2010,[3],972222.222222222
7,11291412,35,3,276,2010,[2],48305555.5555556
8,11291403,35,3,276,2010,[1],233083333.333333
9,11291449,35,3,276,2011,[3],1000000.0
10,11291437,35,3,276,2011,[2],49555555.5555556
11,11291428,35,3,276,2011,[1],184277777.777778
12,11291519,35,3,276,2012,[3],944444.444444444
13,11291479,35,3,276,2012,[2],47805555.5555556
14,11291460,35,3,276,2012,[1],196666666.666667
15,11291546,35,3,276,2013,[3],1027777.77777778
16,11291538,35,3,276,2013,[2],52277777.7777778
17,11291528,35,3,276,2013,[1],215027777.777778
18,11291585,35,3,276,2014,[3],1055555.55555556
19,11291576,35,3,276,2014,[2],44527777.7777778
20,11291562,35,3,276,2014,[1],177166666.666667
21,11291615,35,3,276,2015,[3],1055555.55555556
22,11291607,35,3,276,2015,[2],44527777.7777778
23,11291596,35,3,276,2015,[1],195583333.333333
24,11291831,35,3,276,2016,[3],972222.222222222
25,11291718,35,3,276,2016,[2],48083333.3333333
26,11291627,35,3,276,2016,[1],212861111.111111
27,11291986,35,3,276,2017,[3],1083333.33333333
28,11291952,35,3,276,2017,[2],54388888.8888889
29,11291878,35,3,276,2017,[1],217805555.555556
