idx,id,id_spatial,id_region_type,id_region,year,internal_id,value
0,24655538,59,2,8000000,2015,"[13, 30]",245638.1
1,24655158,59,2,8000000,2015,"[1, 22]",0.2
2,24655159,59,2,8000000,2015,"[1, 23]",3065.7
3,24655160,59,2,8000000,2015,"[1, 24]",15481.2
4,24655161,59,2,8000000,2015,"[1, 25]",2992.7
5,24655162,59,2,8000000,2015,"[1, 26]",23453.8
6,24655163,59,2,8000000,2015,"[1, 27]",111668.7
7,24655164,59,2,8000000,2015,"[1, 28]",7314.5
8,24655168,59,2,8000000,2015,"[2, 1]",177001.2
9,24655170,59,2,8000000,2015,"[2, 3]",1441.9
10,24655173,59,2,8000000,2015,"[2, 6]",890.1
11,24655174,59,2,8000000,2015,"[2, 7]",3678.1
12,24655175,59,2,8000000,2015,"[2, 8]",529235.6
13,24655178,59,2,8000000,2015,"[2, 11]",68510.6
14,24655179,59,2,8000000,2015,"[2, 12]",10937.8
15,24655180,59,2,8000000,2015,"[2, 13]",9839.3
16,24655188,59,2,8000000,2015,"[2, 21]",265300.4
17,24655194,59,2,8000000,2015,"[2, 27]",10657.0
18,24655196,59,2,8000000,2015,"[2, 29]",39266.7
19,24655197,59,2,8000000,2015,"[2, 30]",245638.1
20,24655201,59,2,8000000,2015,"[3, 3]",37.0
21,24655204,59,2,8000000,2015,"[3, 6]",0.1
22,24655209,59,2,8000000,2015,"[3, 11]",0.1
23,24655211,59,2,8000000,2015,"[3, 13]",1130.7
24,24655212,59,2,8000000,2015,"[3, 14]",1705.8
25,24655213,59,2,8000000,2015,"[3, 15]",42.0
26,24655214,59,2,8000000,2015,"[3, 16]",3.3
27,24655230,59,2,8000000,2015,"[4, 1]",177001.2
28,24655232,59,2,8000000,2015,"[4, 3]",1478.9
29,24655235,59,2,8000000,2015,"[4, 6]",890.2
30,24655236,59,2,8000000,2015,"[4, 7]",3678.1
31,24655237,59,2,8000000,2015,"[4, 8]",529235.6
32,24655240,59,2,8000000,2015,"[4, 11]",68510.6
33,24655241,59,2,8000000,2015,"[4, 12]",10937.8
34,24655242,59,2,8000000,2015,"[4, 13]",10970.0
35,24655243,59,2,8000000,2015,"[4, 14]",1705.8
36,24655707,59,2,8000000,2015,"[19, 13]",216.1
37,24655715,59,2,8000000,2015,"[19, 21]",2923.5
38,24655726,59,2,8000000,2015,"[20, 1]",168628.7
39,24655732,59,2,8000000,2015,"[20, 7]",208.9
40,24655733,59,2,8000000,2015,"[20, 8]",529235.6
41,24655734,59,2,8000000,2015,"[20, 9]",19.8
42,24655736,59,2,8000000,2015,"[20, 11]",0.9
43,24655738,59,2,8000000,2015,"[20, 13]",1694.8
44,24655739,59,2,8000000,2015,"[20, 14]",1354.8
45,24655740,59,2,8000000,2015,"[20, 15]",414.6
46,24655741,59,2,8000000,2015,"[20, 16]",10103.4
47,24655742,59,2,8000000,2015,"[20, 17]",1005.9
48,24655743,59,2,8000000,2015,"[20, 18]",611.7
49,24655746,59,2,8000000,2015,"[20, 21]",39221.7
50,24655748,59,2,8000000,2015,"[20, 23]",2467.7
51,24655749,59,2,8000000,2015,"[20, 24]",15481.2
52,24655750,59,2,8000000,2015,"[20, 25]",2992.7
53,24655751,59,2,8000000,2015,"[20, 26]",17506.6
54,24655752,59,2,8000000,2015,"[20, 27]",63084.1
55,24655753,59,2,8000000,2015,"[20, 28]",8.2
56,24655754,59,2,8000000,2015,"[20, 29]",8787.0
57,24655755,59,2,8000000,2015,"[20, 30]",245638.1
58,24656126,59,2,8000000,2015,"[32, 29]",1263.1
59,24656137,59,2,8000000,2015,"[33, 9]",8633.2
60,24656138,59,2,8000000,2015,"[33, 10]",166526.8
61,24656139,59,2,8000000,2015,"[33, 11]",135941.3
62,24656141,59,2,8000000,2015,"[33, 13]",98614.7
63,24656142,59,2,8000000,2015,"[33, 14]",11606.4
64,24656143,59,2,8000000,2015,"[33, 15]",15805.7
65,24656144,59,2,8000000,2015,"[33, 16]",49077.3
66,24656145,59,2,8000000,2015,"[33, 17]",24614.6
67,24656146,59,2,8000000,2015,"[33, 18]",25075.1
68,24656157,59,2,8000000,2015,"[33, 29]",227979.5
69,24656159,59,2,8000000,2015,"[33, 31]",46863.8
70,24656500,59,2,8000000,2015,"[44, 31]",1782.7
71,24656501,59,2,8000000,2015,"[45, 1]",3117.4
72,24656503,59,2,8000000,2015,"[45, 3]",1316.7
73,24656506,59,2,8000000,2015,"[45, 6]",890.2
74,24656507,59,2,8000000,2015,"[45, 7]",3467.8
75,24656510,59,2,8000000,2015,"[45, 10]",104556.1
76,24656511,59,2,8000000,2015,"[45, 11]",204447.4
77,24656512,59,2,8000000,2015,"[45, 12]",10937.8
78,24656513,59,2,8000000,2015,"[45, 13]",107800.6
79,24656514,59,2,8000000,2015,"[45, 14]",1192.8
80,24656515,59,2,8000000,2015,"[45, 15]",1607.3
81,24656516,59,2,8000000,2015,"[45, 16]",438.3
82,24656517,59,2,8000000,2015,"[45, 17]",7583.3
83,24656521,59,2,8000000,2015,"[45, 21]",220483.1
84,24656522,59,2,8000000,2015,"[45, 22]",0.2
85,24656523,59,2,8000000,2015,"[45, 23]",117.0
86,24656526,59,2,8000000,2015,"[45, 26]",5947.2
87,24656527,59,2,8000000,2015,"[45, 27]",59145.6
88,24656528,59,2,8000000,2015,"[45, 28]",7306.2
89,24656529,59,2,8000000,2015,"[45, 29]",237205.8
90,24656531,59,2,8000000,2015,"[45, 31]",39828.1
91,24656532,59,2,8000000,2015,"[46, 1]",2973.0
92,24656534,59,2,8000000,2015,"[46, 3]",1316.7
93,24656537,59,2,8000000,2015,"[46, 6]",0.30000000000000004
94,24656538,59,2,8000000,2015,"[46, 7]",3467.8
95,24656542,59,2,8000000,2015,"[46, 11]",17.2
96,24656544,59,2,8000000,2015,"[46, 13]",6847.1
97,24656545,59,2,8000000,2015,"[46, 14]",1192.8
98,24656546,59,2,8000000,2015,"[46, 15]",1607.3
99,24656547,59,2,8000000,2015,"[46, 16]",369.6
100,24656548,59,2,8000000,2015,"[46, 17]",551.0
101,24656552,59,2,8000000,2015,"[46, 21]",69006.9
102,24656553,59,2,8000000,2015,"[46, 22]",0.2
103,24656554,59,2,8000000,2015,"[46, 23]",113.2
104,24656557,59,2,8000000,2015,"[46, 26]",3.6
105,24656558,59,2,8000000,2015,"[46, 27]",15875.7
106,24656559,59,2,8000000,2015,"[46, 28]",40.5
107,24656560,59,2,8000000,2015,"[46, 29]",96686.2
108,24656562,59,2,8000000,2015,"[46, 31]",14646.5
109,24655428,59,2,8000000,2015,"[10, 13]",704.5
110,24655429,59,2,8000000,2015,"[10, 14]",668.5
111,24655436,59,2,8000000,2015,"[10, 21]",1709.8
112,24655438,59,2,8000000,2015,"[10, 23]",104.9
113,24655442,59,2,8000000,2015,"[10, 27]",6691.9
114,24655447,59,2,8000000,2015,"[11, 1]",26001.6
115,24655459,59,2,8000000,2015,"[11, 13]",98.3
116,24655460,59,2,8000000,2015,"[11, 14]",74.5
117,24655467,59,2,8000000,2015,"[11, 21]",12617.2
118,24655469,59,2,8000000,2015,"[11, 23]",151.8
119,24655473,59,2,8000000,2015,"[11, 27]",15411.1
120,24655478,59,2,8000000,2015,"[12, 1]",1390.9
121,24655484,59,2,8000000,2015,"[12, 7]",48.4
122,24655488,59,2,8000000,2015,"[12, 11]",0.8
123,24655490,59,2,8000000,2015,"[12, 13]",30.2
124,24655491,59,2,8000000,2015,"[12, 14]",601.3
125,24655492,59,2,8000000,2015,"[12, 15]",414.6
126,24655494,59,2,8000000,2015,"[12, 17]",1004.4
127,24655495,59,2,8000000,2015,"[12, 18]",611.7
128,24655498,59,2,8000000,2015,"[12, 21]",12181.4
129,24655500,59,2,8000000,2015,"[12, 23]",41.8
130,24655504,59,2,8000000,2015,"[12, 27]",4708.7
131,24655847,59,2,8000000,2015,"[23, 29]",67683.6
132,24655971,59,2,8000000,2015,"[27, 29]",21780.3
133,24656002,59,2,8000000,2015,"[28, 29]",31117.0
134,24656035,59,2,8000000,2015,"[29, 31]",15905.0
135,24656300,59,2,8000000,2015,"[38, 17]",2605.9
136,24656301,59,2,8000000,2015,"[38, 18]",24463.5
137,24656304,59,2,8000000,2015,"[38, 21]",2645.1
138,24656310,59,2,8000000,2015,"[38, 27]",0.2
139,24656312,59,2,8000000,2015,"[38, 29]",2012.2
140,24656314,59,2,8000000,2015,"[38, 31]",2.0
