idx,id,id_spatial,id_region_type,id_region,year,internal_id,value
0,17252893,45,4,1001000,2000,[2],14997
1,17246110,45,4,1001000,2000,[1],1211119000
2,17252494,45,4,1001000,2001,[2],15417
3,17245711,45,4,1001000,2001,[1],1240936000
4,17252095,45,4,1001000,2002,[2],15596
5,17245312,45,4,1001000,2002,[1],1254124000
6,17251696,45,4,1001000,2003,[2],15873
7,17244913,45,4,1001000,2003,[1],1278380000
8,17251297,45,4,1001000,2004,[2],15925
9,17244514,45,4,1001000,2004,[1],1286450000
10,17250898,45,4,1001000,2005,[2],16759
11,17244115,45,4,1001000,2005,[1],1355667000
12,17250499,45,4,1001000,2006,[2],17377
13,17243716,45,4,1001000,2006,[1],1408429000
14,17250100,45,4,1001000,2007,[2],18165
15,17243317,45,4,1001000,2007,[1],1482847000
16,17249701,45,4,1001000,2008,[2],18035
17,17242918,45,4,1001000,2008,[1],1486141000
18,17249302,45,4,1001000,2009,[2],17868
19,17242519,45,4,1001000,2009,[1],1473732000
20,17248903,45,4,1001000,2010,[2],17859
21,17242120,45,4,1001000,2010,[1],1468306000
22,17248504,45,4,1001000,2011,[2],18079
23,17241721,45,4,1001000,2011,[1],1491587000
24,17248105,45,4,1001000,2012,[2],18545
25,17241322,45,4,1001000,2012,[1],1541701000
26,17247706,45,4,1001000,2013,[2],18543
27,17240923,45,4,1001000,2013,[1],1552324000
28,17247307,45,4,1001000,2014,[2],18639
29,17240524,45,4,1001000,2014,[1],1571862000
30,17246908,45,4,1001000,2015,[2],18308
31,17240125,45,4,1001000,2015,[1],1561972000
32,17246509,45,4,1001000,2016,[2],18481
33,17239726,45,4,1001000,2016,[1],1602046000
34,17252894,45,4,1002000,2000,[2],14506
35,17246111,45,4,1002000,2000,[1],3350283000
36,17252495,45,4,1002000,2001,[2],15051
37,17245712,45,4,1002000,2001,[1],3461686000
38,17252096,45,4,1002000,2002,[2],15277
39,17245313,45,4,1002000,2002,[1],3515990000
40,17251697,45,4,1002000,2003,[2],15622
41,17244914,45,4,1002000,2003,[1],3598777000
42,17251298,45,4,1002000,2004,[2],15796
43,17244515,45,4,1002000,2004,[1],3636516000
44,17250899,45,4,1002000,2005,[2],16249
45,17244116,45,4,1002000,2005,[1],3749326000
46,17250500,45,4,1002000,2006,[2],16380
47,17243717,45,4,1002000,2006,[1],3793491000
48,17250101,45,4,1002000,2007,[2],16794
49,17243318,45,4,1002000,2007,[1],3907287000
50,17249702,45,4,1002000,2008,[2],17022
51,17242919,45,4,1002000,2008,[1],3976202000
52,17249303,45,4,1002000,2009,[2],17062
53,17242520,45,4,1002000,2009,[1],3994193000
54,17248904,45,4,1002000,2010,[2],17254
55,17242121,45,4,1002000,2010,[1],4052955000
56,17248505,45,4,1002000,2011,[2],17528
57,17241722,45,4,1002000,2011,[1],4146226000
58,17248106,45,4,1002000,2012,[2],17940
59,17241323,45,4,1002000,2012,[1],4283533000
60,17247707,45,4,1002000,2013,[2],18429
61,17240924,45,4,1002000,2013,[1],4435942000
62,17247308,45,4,1002000,2014,[2],18242
63,17240525,45,4,1002000,2014,[1],4420766000
64,17246909,45,4,1002000,2015,[2],18538
65,17240126,45,4,1002000,2015,[1],4536771000
66,17246510,45,4,1002000,2016,[2],18810
67,17239727,45,4,1002000,2016,[1],4643584000
68,17252895,45,4,1003000,2000,[2],14654
69,17246112,45,4,1003000,2000,[1],3127337000
70,17252496,45,4,1003000,2001,[2],15212
71,17245713,45,4,1003000,2001,[1],3247868000
72,17252097,45,4,1003000,2002,[2],15581
73,17245314,45,4,1003000,2002,[1],3325813000
74,17251698,45,4,1003000,2003,[2],16244
75,17244915,45,4,1003000,2003,[1],3461437000
76,17251299,45,4,1003000,2004,[2],16670
77,17244516,45,4,1003000,2004,[1],3540413000
78,17250900,45,4,1003000,2005,[2],17085
79,17244117,45,4,1003000,2005,[1],3620728000
80,17250501,45,4,1003000,2006,[2],17190
81,17243718,45,4,1003000,2006,[1],3637277000
82,17250102,45,4,1003000,2007,[2],17453
83,17243319,45,4,1003000,2007,[1],3690472000
84,17249703,45,4,1003000,2008,[2],17556
85,17242920,45,4,1003000,2008,[1],3709648000
86,17249304,45,4,1003000,2009,[2],17470
87,17242521,45,4,1003000,2009,[1],3676348000
88,17248905,45,4,1003000,2010,[2],17525
89,17242122,45,4,1003000,2010,[1],3682277000
90,17248506,45,4,1003000,2011,[2],17851
91,17241723,45,4,1003000,2011,[1],3757771000
92,17248107,45,4,1003000,2012,[2],18372
93,17241324,45,4,1003000,2012,[1],3880018000
94,17247708,45,4,1003000,2013,[2],18415
95,17240925,45,4,1003000,2013,[1],3910092000
96,17247309,45,4,1003000,2014,[2],18751
97,17240526,45,4,1003000,2014,[1],4006811000
98,17246910,45,4,1003000,2015,[2],19156
99,17240127,45,4,1003000,2015,[1],4125044000
100,17246511,45,4,1003000,2016,[2],19575
101,17239728,45,4,1003000,2016,[1],4237638000
102,17252896,45,4,1004000,2000,[2],15037
103,17246113,45,4,1004000,2000,[1],1207190000
104,17252497,45,4,1004000,2001,[2],15822
105,17245714,45,4,1004000,2001,[1],1265801000
106,17252098,45,4,1004000,2002,[2],15599
107,17245315,45,4,1004000,2002,[1],1246038000
108,17251699,45,4,1004000,2003,[2],15621
109,17244916,45,4,1004000,2003,[1],1242683000
