idx,id_spatial,id_region_type,id_region,year,internal_id,value
0,1,4,1001000,1997,,85547.0
1,1,4,1001000,1998,,84742.0
2,1,4,1001000,1999,,84449.0
3,1,4,1001000,2000,,84281.0
4,1,4,1001000,2001,,84480.0
5,1,4,1001000,2002,,84704.0
6,1,4,1001000,2003,,85300.0
7,1,4,1001000,2004,,85762.0
8,1,4,1001000,2005,,86080.0
9,1,4,1001000,2006,,86630.0
10,1,4,1001000,2007,,87792.0
11,1,4,1001000,2008,,88718.0
12,1,4,1001000,2009,,88502.0
13,1,4,1001000,2010,,88759.0
14,1,4,1001000,2011,,82801.0
15,1,4,1001000,2012,,83462.0
16,1,4,1001000,2013,,83971.0
17,1,4,1001000,2014,,84694.0
18,1,4,1001000,2015,,85942.0
19,1,4,1002000,1997,,240516.0
20,1,4,1002000,1998,,237337.0
21,1,4,1002000,1999,,233795.0
22,1,4,1002000,2000,,232612.0
23,1,4,1002000,2001,,232242.0
24,1,4,1002000,2002,,233270.0
25,1,4,1002000,2003,,233039.0
26,1,4,1002000,2004,,233329.0
27,1,4,1002000,2005,,234433.0
28,1,4,1002000,2006,,235366.0
29,1,4,1002000,2007,,236902.0
30,1,4,1002000,2008,,237579.0
31,1,4,1002000,2009,,238281.0
32,1,4,1002000,2010,,239526.0
33,1,4,1002000,2011,,237667.0
34,1,4,1002000,2012,,239866.0
35,1,4,1002000,2013,,241533.0
36,1,4,1002000,2014,,243148.0
37,1,4,1002000,2015,,246306.0
38,1,4,1003000,1997,,215376.0
39,1,4,1003000,1998,,214017.0
40,1,4,1003000,1999,,213326.0
41,1,4,1003000,2000,,213399.0
42,1,4,1003000,2001,,213496.0
43,1,4,1003000,2002,,213301.0
44,1,4,1003000,2003,,212754.0
45,1,4,1003000,2004,,211874.0
46,1,4,1003000,2005,,211825.0
47,1,4,1003000,2006,,211213.0
48,1,4,1003000,2007,,211541.0
49,1,4,1003000,2008,,210892.0
50,1,4,1003000,2009,,209818.0
51,1,4,1003000,2010,,210232.0
52,1,4,1003000,2011,,210679.0
53,1,4,1003000,2012,,211713.0
54,1,4,1003000,2013,,212958.0
55,1,4,1003000,2014,,214420.0
56,1,4,1003000,2015,,216253.0
57,1,4,1004000,1997,,81322.0
58,1,4,1004000,1998,,80803.0
59,1,4,1004000,1999,,80243.0
60,1,4,1004000,2000,,79831.0
61,1,4,1004000,2001,,79646.0
62,1,4,1004000,2002,,79544.0
63,1,4,1004000,2003,,78951.0
64,1,4,1004000,2004,,78555.0
65,1,4,1004000,2005,,78072.0
66,1,4,1004000,2006,,77936.0
67,1,4,1004000,2007,,77595.0
68,1,4,1004000,2008,,77100.0
69,1,4,1004000,2009,,76897.0
70,1,4,1004000,2010,,76830.0
71,1,4,1004000,2011,,77201.0
72,1,4,1004000,2012,,76951.0
73,1,4,1004000,2013,,77058.0
74,1,4,1004000,2014,,77588.0
75,1,4,1004000,2015,,79197.0
76,1,4,1051000,1997,,135773.0
77,1,4,1051000,1998,,136547.0
78,1,4,1051000,1999,,136920.0
79,1,4,1051000,2000,,137174.0
80,1,4,1051000,2001,,137447.0
81,1,4,1051000,2002,,137447.0
82,1,4,1051000,2003,,137428.0
83,1,4,1051000,2004,,137398.0
84,1,4,1051000,2005,,137261.0
85,1,4,1051000,2006,,136829.0
86,1,4,1051000,2007,,136451.0
87,1,4,1051000,2008,,135759.0
88,1,4,1051000,2009,,135279.0
89,1,4,1051000,2010,,134798.0
90,1,4,1051000,2011,,133487.0
91,1,4,1051000,2012,,132965.0
92,1,4,1051000,2013,,132665.0
93,1,4,1051000,2014,,132685.0
94,1,4,1051000,2015,,132917.0
95,1,4,1053000,1997,,174127.0
96,1,4,1053000,1998,,175690.0
97,1,4,1053000,1999,,177703.0
98,1,4,1053000,2000,,179848.0
99,1,4,1053000,2001,,181661.0
100,1,4,1053000,2002,,183804.0
101,1,4,1053000,2003,,184896.0
102,1,4,1053000,2004,,185958.0
103,1,4,1053000,2005,,186471.0
104,1,4,1053000,2006,,186911.0
105,1,4,1053000,2007,,187094.0
106,1,4,1053000,2008,,186984.0
107,1,4,1053000,2009,,186629.0
108,1,4,1053000,2010,,186874.0
109,1,4,1053000,2011,,187296.0
110,1,4,1053000,2012,,187905.0
111,1,4,1053000,2013,,189043.0
112,1,4,1053000,2014,,190703.0
113,1,4,1053000,2015,,192999.0
114,1,4,1054000,1997,,162084.0
115,1,4,1054000,1998,,163080.0
116,1,4,1054000,1999,,163974.0
117,1,4,1054000,2000,,164280.0
118,1,4,1054000,2001,,165026.0
119,1,4,1054000,2002,,165678.0
120,1,4,1054000,2003,,166342.0
121,1,4,1054000,2004,,166610.0
122,1,4,1054000,2005,,166956.0
123,1,4,1054000,2006,,166783.0
124,1,4,1054000,2007,,166727.0
125,1,4,1054000,2008,,166270.0
126,1,4,1054000,2009,,165771.0
127,1,4,1054000,2010,,165480.0
128,1,4,1054000,2011,,163029.0
129,1,4,1054000,2012,,162237.0
130,1,4,1054000,2013,,161923.0
131,1,4,1054000,2014,,162203.0
132,1,4,1054000,2015,,163960.0
133,1,4,1055000,1997,,199229.0
134,1,4,1055000,1998,,200168.0
135,1,4,1055000,1999,,201400.0
136,1,4,1055000,2000,,202247.0
137,1,4,1055000,2001,,203386.0
138,1,4,1055000,2002,,204498.0
139,1,4,1055000,2003,,205140.0
140,1,4,1055000,2004,,205589.0
141,1,4,1055000,2005,,206040.0
142,1,4,1055000,2006,,205952.0
143,1,4,1055000,2007,,205688.0
144,1,4,1055000,2008,,205191.0
145,1,4,1055000,2009,,204948.0
146,1,4,1055000,2010,,204454.0
147,1,4,1055000,2011,,197960.0
148,1,4,1055000,2012,,197882.0
149,1,4,1055000,2013,,197835.0
150,1,4,1055000,2014,,198355.0
151,1,4,1055000,2015,,199574.0
152,1,4,1056000,1997,,286416.0
153,1,4,1056000,1998,,288109.0
154,1,4,1056000,1999,,289557.0
155,1,4,1056000,2000,,291609.0
156,1,4,1056000,2001,,293914.0
157,1,4,1056000,2002,,295643.0
158,1,4,1056000,2003,,296941.0
159,1,4,1056000,2004,,298272.0
160,1,4,1056000,2005,,299392.0
161,1,4,1056000,2006,,300402.0
162,1,4,1056000,2007,,301320.0
163,1,4,1056000,2008,,301518.0
164,1,4,1056000,2009,,302430.0
165,1,4,1056000,2010,,303481.0
166,1,4,1056000,2011,,297307.0
167,1,4,1056000,2012,,298826.0
168,1,4,1056000,2013,,301223.0
169,1,4,1056000,2014,,304087.0
170,1,4,1056000,2015,,307471.0
171,1,4,1057000,1997,,129197.0
172,1,4,1057000,1998,,130838.0
173,1,4,1057000,1999,,131960.0
174,1,4,1057000,2000,,132895.0
175,1,4,1057000,2001,,133624.0
176,1,4,1057000,2002,,134368.0
177,1,4,1057000,2003,,135038.0
178,1,4,1057000,2004,,135446.0
179,1,4,1057000,2005,,135655.0
180,1,4,1057000,2006,,135562.0
181,1,4,1057000,2007,,135422.0
182,1,4,1057000,2008,,134912.0
183,1,4,1057000,2009,,134573.0
184,1,4,1057000,2010,,134291.0
185,1,4,1057000,2011,,127212.0
186,1,4,1057000,2012,,126721.0
187,1,4,1057000,2013,,126643.0
188,1,4,1057000,2014,,126865.0
189,1,4,1057000,2015,,128304.0
190,1,4,1058000,1997,,263636.0
191,1,4,1058000,1998,,265739.0
192,1,4,1058000,1999,,268220.0
193,1,4,1058000,2000,,270110.0
194,1,4,1058000,2001,,271643.0
195,1,4,1058000,2002,,272681.0
196,1,4,1058000,2003,,273133.0
197,1,4,1058000,2004,,273130.0
198,1,4,1058000,2005,,273039.0
199,1,4,1058000,2006,,272591.0
200,1,4,1058000,2007,,272488.0
201,1,4,1058000,2008,,271393.0
202,1,4,1058000,2009,,270626.0
203,1,4,1058000,2010,,269778.0
204,1,4,1058000,2011,,268846.0
205,1,4,1058000,2012,,268058.0
206,1,4,1058000,2013,,268075.0
207,1,4,1058000,2014,,268628.0
208,1,4,1058000,2015,,270378.0
209,1,4,1059000,1997,,192895.0
210,1,4,1059000,1998,,194568.0
211,1,4,1059000,1999,,196416.0
212,1,4,1059000,2000,,197754.0
213,1,4,1059000,2001,,198390.0
214,1,4,1059000,2002,,199227.0
215,1,4,1059000,2003,,199608.0
216,1,4,1059000,2004,,199999.0
217,1,4,1059000,2005,,199671.0
218,1,4,1059000,2006,,199264.0
219,1,4,1059000,2007,,199101.0
220,1,4,1059000,2008,,198649.0
221,1,4,1059000,2009,,198426.0
222,1,4,1059000,2010,,197903.0
223,1,4,1059000,2011,,195721.0
224,1,4,1059000,2012,,194911.0
225,1,4,1059000,2013,,195135.0
226,1,4,1059000,2014,,195593.0
227,1,4,1059000,2015,,196839.0
228,1,4,1060000,1997,,242253.0
229,1,4,1060000,1998,,244781.0
230,1,4,1060000,1999,,247611.0
231,1,4,1060000,2000,,250112.0
232,1,4,1060000,2001,,252758.0
233,1,4,1060000,2002,,254165.0
234,1,4,1060000,2003,,255631.0
235,1,4,1060000,2004,,256166.0
236,1,4,1060000,2005,,257002.0
237,1,4,1060000,2006,,257749.0
238,1,4,1060000,2007,,258336.0
239,1,4,1060000,2008,,257945.0
240,1,4,1060000,2009,,258150.0
241,1,4,1060000,2010,,259200.0
242,1,4,1060000,2011,,261141.0
243,1,4,1060000,2012,,261988.0
244,1,4,1060000,2013,,263202.0
245,1,4,1060000,2014,,264972.0
246,1,4,1060000,2015,,267503.0
247,1,4,1061000,1997,,134998.0
248,1,4,1061000,1998,,135161.0
249,1,4,1061000,1999,,135798.0
250,1,4,1061000,2000,,136027.0
251,1,4,1061000,2001,,136548.0
252,1,4,1061000,2002,,136913.0
253,1,4,1061000,2003,,136996.0
254,1,4,1061000,2004,,136978.0
255,1,4,1061000,2005,,136470.0
256,1,4,1061000,2006,,135834.0
257,1,4,1061000,2007,,134664.0
258,1,4,1061000,2008,,134090.0
259,1,4,1061000,2009,,133370.0
260,1,4,1061000,2010,,132897.0
261,1,4,1061000,2011,,130543.0
262,1,4,1061000,2012,,130135.0
263,1,4,1061000,2013,,130017.0
264,1,4,1061000,2014,,130218.0
265,1,4,1061000,2015,,131457.0
266,1,4,1062000,1997,,213104.0
267,1,4,1062000,1998,,214477.0
268,1,4,1062000,1999,,215903.0
269,1,4,1062000,2000,,217582.0
270,1,4,1062000,2001,,219988.0
271,1,4,1062000,2002,,221264.0
272,1,4,1062000,2003,,221974.0
273,1,4,1062000,2004,,223694.0
274,1,4,1062000,2005,,224583.0
275,1,4,1062000,2006,,225232.0
276,1,4,1062000,2007,,226252.0
277,1,4,1062000,2008,,227260.0
278,1,4,1062000,2009,,228327.0
279,1,4,1062000,2010,,229756.0
280,1,4,1062000,2011,,231376.0
281,1,4,1062000,2012,,232911.0
282,1,4,1062000,2013,,234674.0
283,1,4,1062000,2014,,236705.0
284,1,4,1062000,2015,,239614.0
285,1,4,2000000,1997,,1704731.0
286,1,4,2000000,1998,,1700089.0
287,1,4,2000000,1999,,1704735.0
288,1,4,2000000,2000,,1715392.0
289,1,4,2000000,2001,,1726363.0
290,1,4,2000000,2002,,1728806.0
291,1,4,2000000,2003,,1734083.0
292,1,4,2000000,2004,,1734830.0
293,1,4,2000000,2005,,1743627.0
294,1,4,2000000,2006,,1754182.0
295,1,4,2000000,2007,,1770629.0
296,1,4,2000000,2008,,1772100.0
297,1,4,2000000,2009,,1774224.0
298,1,4,2000000,2010,,1786448.0
299,1,4,2000000,2011,,1718187.0
300,1,4,2000000,2012,,1734272.0
301,1,4,2000000,2013,,1746342.0
302,1,4,2000000,2014,,1762791.0
